eans,sku,brand,title,categoryPath,url,price
8059591580691,220,Salugea,Succo di Sambuco Bio,Succhi Biologici Salugea > Integratori Naturali Salugea > Promo difese per custom promo > Integratori per l'apparato respiratorio > Tutti meno programmi > All products > 13° Compleanno Salugea > Integratori a base di Sambuco > Prodotti Naturali > Integratori per Bambini > Integratori per il Sistema immunitario > Integratori Naturali adatti a Vegani e Vegetariani > Tutti meno memosan > Integratori per le Difese Immunitarie > Prodotti Singoli Meno Promo (tool) > Coupon applicabile,https://salugea.com/products/succo-di-sambuco?variant=39254175219777&om=14641,21.28
8059591580707,221,Salugea,Kiomasal,Tutti meno programmi > Tutti meno memosan > Integratori per Donne > Coupon applicabile > Integratori per Capelli > All products > Integratori per Uomini > not-on-sale-welcome > Prodotti Naturali > Integratori Naturali Salugea > 13° Compleanno Salugea > Integratori Naturali adatti a Vegani e Vegetariani > Integratori di Vitamina B Naturale > Integratori a base di Quercetina > Prodotti Singoli Meno Promo (tool) > Integratori di Selenio > Integratori a base di Ortica > Integratori a base di Bambù > Integratori a base di Spirulina > Integratori di Zinco,https://salugea.com/products/kiomasal?variant=32373906145345&om=14641,32.32
8059591580738,224,Salugea,Reflugea Forte,Integratori naturali per lo Stomaco > All products > Integratori a base di Malva > Tutti meno memosan > Tutti meno programmi > 13° Compleanno Salugea > Prodotti Singoli Meno Promo (tool) > Integratori per l'apparato digerente > Integratori Naturali adatti a Vegani e Vegetariani > Prodotti Naturali > Coupon applicabile > Integratori a base di Fico > Integratori Naturali Salugea > Promo Stomaco e Intestino > Integratori a base di Tiglio > Integratori a base di Resina di Mastiha > Integratori per la Digestione 100% Naturali > Integratori a base di Amla,https://salugea.com/products/reflugea-forte?variant=39807175131201&om=14641,29.28
8059591580745,225,Salugea,Intestinum Forte,Coupon applicabile > Integratori naturali per l'intestino > Integratori a base di Malva > All products > Promo Stomaco e Intestino > 13° Compleanno Salugea > Integratori per la Digestione 100% Naturali > Tutti meno programmi > Integratori a base di Griffonia > Integratori Naturali Salugea > Tutti meno memosan > Prodotti Singoli Meno Promo (tool) > Integratori per l'apparato digerente > Integratori Naturali adatti a Vegani e Vegetariani > Integratori a base di Perilla > Integratori a base di Mirtillo Rosso > Prodotti Naturali > Integratori a base di Anice stellato,https://salugea.com/products/intestinum-forte?variant=39915990057025&om=14641,26.08
8059591580752,226,Salugea,Dimasal Nuova Formula,"13° Compleanno Salugea > Integratori a base di Cassia nomame > Prodotti Singoli Meno Promo (tool) > Integratori 100% Naturali per il tuo benessere e la tua bellezza > Promo Gambe Leggere > Coupon applicabile > not-on-sale-welcome > Integratori Anticellulite > Integratori a base di Ananas > All products > Tutti meno programmi > Prodotti Naturali > Tutti meno memosan > Integratori a base di Melograno > Integratori Naturali adatti a Vegani e Vegetariani > Termogenici Naturali > Integratori Naturali Salugea > Beauty Week | Benessere dentro, Bellezza fuori > Remise en forme",https://salugea.com/products/dimasal?variant=31926406086721&om=14641,45.28
8059591580769,227,Salugea,Prostadoc,Integratori di Selenio > Tutti meno programmi > Integratori per Anziani > Integratori per l'apparato riproduttivo > Integratori a base di Ortica > Tutti meno memosan > Integratori per l'apparato urinario > Coupon applicabile > Prodotti Singoli Meno Promo (tool) > All products > Integratori per Uomini > Integratori per le Vie Urinarie > Integratori a base di Melograno > Integratori a base di Zucca > Integratori a base di EnotProst® > Integratori a base di Epilobio > Prodotti Naturali > 13° Compleanno Salugea > Integratori per la Prostata,https://salugea.com/products/prostadoc?variant=40168961736769&om=14641,34.56
8059591580776,228,Salugea,Allergisan,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/allergisan?variant=40324165500993&om=14641,25.92
8059591580783,229,Salugea,Cartilagea,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/cartilagea?variant=40355899473985&om=14641,41.76
8059591580790,231,Salugea,Ferro + B12,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/integratore-ferro-b12?variant=40383972835393&om=14641,30.72
8059591580806,230,Salugea,ImmunoGea,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/immunogea-integratore-difese-immunitarie-adulti?variant=50722061648201&om=14641,42.08
8059591580813,232,Salugea,Goladoc,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/goladoc-spray-gola-naturale?variant=50319501525321&om=14641,15.52
8059591580837,234,Salugea,ProbioGea Intestino,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/probiogea-intestino-probiotici?variant=53623098048897&om=14641,49.6
8059591580844,235,Salugea,ProbioGea Donna,Animals & Pet Supplies > Pet Supplies > Pet Vitamins & Supplements,https://salugea.com/products/probiogea-donna-probiotici?variant=53622945939841&om=14641,49.6
8059591580851,236,Salugea,ProbioGea Mente,Animals & Pet Supplies > Pet Supplies > Pet Vitamins & Supplements,https://salugea.com/products/probiogea-mente-probiotici?variant=53621961523585&om=14641,49.6
8059591580875,238,Salugea,Energea+ Nuova Formula,Integratori per la Stanchezza > Promo Energia Salugea > not-on-sale-welcome > Integratori per Anziani > Addio stress da rientro - Oggi fino al 20% di sconto! > Integratori di Manganese > Integratori a base di Semi d'Uva > Integratori Naturali Salugea > Integratori a base di Spirulina > Integratori per la Mente 100% Naturali > Energea e Sincrovir > Prodotti Naturali > Coupon applicabile > Integratori contro lo Stress 100% Naturali > Integratori per Sportivi > Integratori a base di Ginseng > Integratori a base di Shilajit > Integratori a base di Pappa Reale > Remise en forme > Tutti meno memosan > Prodotti Singoli Meno Promo (tool) > Integratori per Uomini > Tutti meno programmi > 13° Compleanno Salugea > Integratori Energizzanti Naturali > All products > Giornata della Felicità,https://salugea.com/products/energea?variant=39294334795841&om=14641,34.24
8059591580882,239,Salugea,LuxGea Pelle,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/luxgea-pelle-collagene-da-bere?variant=54017993638273&om=14641,62.4
8059591580905,241,Salugea,Reset Intestino,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/reset-intestino-integratore-detox?variant=54089191162241&om=14641,27.2
8059591580912,242,Salugea,Reflugea Rapido,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,https://salugea.com/products/reflugea-rapido-antiacido-naturale?variant=54715832861057&om=14641,19.92
